,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
19398,40984,2015.0,CA,3.0,14,1.0,1.0,0.9901724,2010.0,5889.62890625,354.538624742531
19399,40985,2015.0,CA,3.0,14,1.0,1.0,3.032003,2010.0,18053.96484375,1116.14167490797
19400,40986,2015.0,CA,3.0,14,1.0,1.0,2.079408,2010.0,12347.8828125,476.43076387216
19401,40987,2015.0,CA,3.0,14,7.0,1.0,0.2600781,2010.0,1547.2578125,157.749886118239
19402,40988,2015.0,CA,3.0,14,1.0,1.0,0.1357576,2010.0,806.640625,128.358094199739
19403,40989,2014.0,CA,3.0,14,1.0,1.0,0.115544,2010.0,688.46875,109.249554961056
19404,40990,2015.0,CA,3.0,14,6.0,1.0,2.921998,2010.0,17386.9296875,598.959238523403
19405,40991,2015.0,CA,3.0,14,6.0,1.0,0.00261181,2010.0,15.57421875,16.1061954552344
19406,40992,2015.0,CA,3.0,14,1.0,1.0,2.423997,2010.0,14414.50390625,522.985462088107
19407,40993,2015.0,CA,3.0,14,1.0,1.0,0.09117375,2010.0,541.8203125,84.7770589599407
19408,40994,2014.0,CA,3.0,14,8.0,1.0,8.932433,2010.0,53118.828125,7379.25922337521
19409,40995,2015.0,CA,9.0,1,1.0,1.0,29.4124,2010.0,186015.5625,2296.81271042105
19410,40996,2015.0,CA,9.0,4,1.0,1.0,0.1008077,2010.0,651.73828125,90.6137065814177
19412,40998,2015.0,CA,9.0,1,1.0,1.0,4.131937,2010.0,26809.6796875,1370.16918442191
19413,40999,2015.0,CA,9.0,14,1.0,1.0,3.554777,2010.0,23143.73046875,644.002367483386
19414,41000,2015.0,CA,9.0,1,1.0,1.0,0.1007949,2010.0,648.0625,90.3576529120656
19415,41001,2015.0,CA,9.0,9,6.0,1.0,0.4854355,2010.0,2874.91015625,190.277163347178
19416,41002,2015.0,CA,9.0,10,6.0,1.0,1.479508,2010.0,8747.265625,678.433265297668
19417,41003,2015.0,CA,9.0,9,6.0,1.0,0.09397306,2010.0,556.16015625,83.706265598433
